title,url,Politifact,Politifact FB,Snopes,Snopes FB,Factcheck,Factcheck FB,ABC,ABC FB
Babysitter transported to hospital after inserting a baby in her vagina,http://worldnewsdailyreport.com/babysitter-transported-to-hospital-after-inserting-a-baby-in-her-vagina/,,,https://www.snopes.com/babysitter-transported-to-hospital/,1734.0,,,,
"FBI seizes over 3,000 penises during raid at morgue employee’s home",http://worldnewsdailyreport.com/fbi-seizes-over-3000-penises-during-raid-at-morgue-employees-home/,,,https://www.snopes.com/fbi-seizes-3000-penises-raid-morgue-employees-home/,14.0,,,,
"Charles Manson to be released on parole, to Johnson County, TX",http://www.breakingnews365.net/59690fb994b9c/charles-manson-to-be-released-on-parole-to-johnson-county-tx.html,,,https://www.snopes.com/politics/satire/mansonparole.asp,,,,,
Police: Chester Bennington Was Murdered,http://yournewswire.com/chester-bennington-murdered/,,,https://www.snopes.com/chester-bennington-and-chris-cornell-murdered/,22939.0,,,,
Morgue employee cremated by mistake while taking a nap,https://worldnewsdailyreport.com/morgue-employee-cremated-by-mistake-while-taking-a-nap/,,,https://www.snopes.com/morgue-employee-cremated-nap/,7338.0,,,,
Angry Woman Cuts Off Man's Penis for Not Making Eye Contact During Sex - TRENDING,http://viralmugshot.com/angry-woman-cuts-off-mans-penis-for-not-making-eye-contact-during-sex/,,,,,,,,
Female Legislators Unveil 'Male Ejaculation Bill' Forbidding The Disposal Of Unused Semen,http://www.burrardstreetjournal.com/female-legislators-unveil-male-ejaculation-bill/,,,https://www.snopes.com/unused-semen-bill/,376.0,,,,
President Trump Orders the Execution of Five Turkeys Pardoned by Obama,http://realnewsrightnow.com/2017/01/president-trump-orders-execution-five-turkeys-pardoned-obama/,,,https://www.snopes.com/trump-turkey-pardons-reversed/,1821.0,,,,
Elderly woman accused of training her 65 cats to steal from neighbors,http://worldnewsdailyreport.com/elderly-woman-accused-of-training-her-65-cats-to-steal-from-neighbors/,,,https://www.snopes.com/did-elderly-woman-train-cats-to-steal/,1019.0,,,,
Couple hospitalized after man gets his head stuck in his wife’s vagina,http://worldnewsdailyreport.com/couple-hospitalized-after-man-gets-his-head-stuck-in-his-wifes-vagina/,,,https://www.snopes.com/man-head-stuck-wife/,8.0,,,,
Colorado: Hunter claims he was sexually assaulted by a sasquatch,http://worldnewsdailyreport.com/colorado-hunter-claims-he-was-sexually-assaulted-by-a-sasquatch/,,,https://www.snopes.com/colorado-hunter-sasquatch/,357.0,,,,
"Las Vegas: Video Confirms Multiple Shooters, Co-ordinated Attack",http://yournewswire.com/las-vegas-video-multiple-shootes/,,,https://www.snopes.com/second-gunman-shoot-fourth-floor-mandalay-bay/,23.0,,,,
BREAKING: NFL Fines Pittsburgh Steelers $1m Each For Skipping National Anthem,http://thelastlineofdefense.org/breaking-nfl-fines-pittsburgh-steelers-1m-each-for-skipping-national-anthem/,http://www.politifact.com/punditfact/statements/2017/sep/25/thelastlineofdefenseorg/nfls-goodell-didnt-say-he-would-fine-steelers-play/,2705.0,https://www.snopes.com/steelers-fined-1m-each/,0.0,,,,
LAW PASSED: All Child Support in the United States Will End by Beginning of 2018,http://tmzbreaking.com/law-passed-all-child-support-in-the-united-states-will-end-by-beginning-of-2018,http://www.politifact.com/punditfact/statements/2017/dec/19/tmzbreaking/no-trump-and-congress-didnt-pass-bill-ending-child/,63.0,debunked the react365,,,,,
Popeyes manager arrested for allegedly dipping chicken in cocaine based flour to increase business sales. - Channel22News.com,http://channel22news.com/popeyes-manager-arrested-for-allegedly-dipping-chicken-in-cocaine-based-flour-to-increase-business-sales/,,,https://www.snopes.com/popeyes-manager-chicken-cocaine/,,,,,
White Baseball Players Kneel in the 50's to protest Black Lynchings,http://www.breakingnews247.net/59f31b71e36be/white-baseball-players-kneel-in-the-50-s-to-protest-black-lynchings.html,,,https://www.snopes.com/baseball-players-kneeling-protest-1950s/,1976.0,,,,
CIA Agent Confesses On Deathbed: 'We Blew Up WTC 7 On 9/11',http://yournewswire.com/cia-911-wtc7/,,,https://www.snopes.com/cia-agent-confesses-wtc7/,5178.0,,,,
Celebrities Call For 'Total Hollywood Strike' Until Trump Resigns,http://yournewswire.com/hollywood-strike-trump-resign/,,,,,http://www.factcheck.org/2017/05/hollywood-strike-hoax/,569.0,,
NPR: 25 Million Votes For Clinton 'Completely Fake',http://yournewswire.com/npr-25-million-fake-clinton-votes/,,,https://www.snopes.com/25-million-fraud-votes-for-clinton/,3424.0,http://www.factcheck.org/2017/08/25-million-clinton-votes-werent-fake/,6577.0,,
World's most popular candy to be removed from shelves by October 2017!,http://www.breakingnews247.net/59bc13819a723/world-s-most-popular-candy-to-be-removed-from-shelves-by-october-2017.html,,,https://www.snopes.com/reeses-peanut-butter-cups/,3137.0,,,,
Se extiende la edad para jubilarse,http://www.12minutos.com/58f7d2c435970/se-extiende-la-edad-para-jubilarse.html,,,,,,,,
Hendersonville Man Caught Molesting Pig after his penis gets stuck,http://sundayinquirer.com/2017/06/12/hendersonville-man-caught-molesting-pig-after-his-penis-gets-stuck/,,,,,,,,
Yolanda Saldivar Dead At 54: Selena Fans Rejoice - Chicago Civic Tribune,http://civictribune.com/yolanda-saldivar-dead-at-54-selena-fans-rejoice/,,,,,,,,
Justin Bieber: Pedophiles Run The 'Evil' Music Industry,http://yournewswire.com/justin-bieber-pedophiles/,,,https://www.snopes.com/pedophiles-music-industry/,1241.0,,,,
Morgue Employee Cremated By Mistake While Taking A Nap,http://www.abcnews-us.com/2017/12/05/morgue-employee-cremated-by-mistake-while-taking-a-nap/,http://www.politifact.com/punditfact/statements/2017/dec/14/worldnewsdailyreportcom/its-fake-news-texas-morgue-employee-cremated-while/,9.0,,,,,,
Chicago Man Arrested for Slapping 25 B*tches Because He Was Tired of B*tches,http://viralactions.com/chicago-man-arrested-for-slapping-25-btches-because-he-was-tired-of-btches/,,,,,,,,
WikiLeaks: Clinton Bribed 6 Republicans To 'Destroy Trump',http://yournewswire.com/wikileaks-clinton-bribed-6-republicans/,,,,,,,http://abcnews.go.com/Politics/republicans-bribes-hillary-clinton-sabotage-donald-trump/story?id=45064731,4600.0
Whataburger announced they will be closing all restaurants as of February 2018 - Channel 45 News,https://channel45news.com/2017/05/whataburger-announced-they-will-be-closing-all-restaurants-as-of-february-2018/,,,,,,,,
No more child support after 2017!!!!!!,http://www.react365.com/59c06b7b050bf/no-more-child-support-after-2017.html,,,https://www.snopes.com/no-child-support-2017/,811.0,,,,
Ex-Army Sniper Takes Out Neighbor’s Home Intruder From Bedroom Window,http://theseattletribune.com/ex-army-sniper-takes-out-neighbors-home-intruder-from-bedroom-window/,,,https://www.snopes.com/army-sniper-shoot-intruders/,341.0,,,,
Newport Introduces “Marijuana Cigarettes” That will Go On Sale Worldwide Next Year,http://viralactions.com/newport-introduces-marijuana-cigarettes-that-will-go-on-sale-worldwide-next-year/,,,,,,,,
Death row inmate eats an entire Bible as his last meal,http://worldnewsdailyreport.com/death-row-inmate-eats-an-entire-bible-as-his-last-meal/,,,https://www.snopes.com/inmate-bible-last-meal/,,,,,
17-year-old teenager sues his parents for being born white,http://worldnewsdailyreport.com/17-year-old-teenager-sues-his-parents-for-being-born-white/,,,,,,,,
Sharks spotted in mississippi River near Davenport has been confirmed as Great white shark,http://www.breakingnews365.net/58de9ba5bc7ce/sharks-spotted-in-mississippi-river-near-davenport-has-been-confirmed-as-great-white-shark.html,,,,,,,,
Retired MI5 Agent Confesses On Deathbed: 'I Killed Princess Diana',http://yournewswire.com/mi5-agent-killed-princess-diana/,,,https://www.snopes.com/retired-mi5-agent-confesses-on-deathbed-i-killed-princess-diana/,4511.0,,,,
Vuelve el Servicio militar obligatorio para menores de 25 años,http://www.12minutos.com/58cc35a723182/vuelve-el-servicio-militar-obligatorio-para-menores-de-25-anos.html,,,,,,,,
Woman rolls over hairdresser with her car after he “ruined” her hair,http://worldnewsdailyreport.com/woman-rolls-over-hairdresser-with-her-car-after-he-ruined-her-hair/,,,,,,,,
Texas Church Shooter Was Antifa Member Who Vowed To Start Civil War,http://yournewswire.com/texas-church-shooter-antifa/,http://www.politifact.com/punditfact/statements/2017/nov/06/yournewswirecom/fake-news-no-proof-antifa-communism-compelled-texa/,1610.0,https://www.snopes.com/texas-church-shooter-antifa/,49480.0,http://www.factcheck.org/2017/11/texas-shooting-unrelated-antifa/,1832.0,,
Servicio militar OBLIGATORIO para jóvenes de 18 que no trabajen ni estudien,http://www.noticias-frescas.com/59f3eaac43e11/servicio-militar-obligatorio-para-jovenes-de-18-que-no-trabajen-ni-estudien.html,,,,,,,,
GM just Announced that they will be bringing the Square Body back in 2018 - Channel 45 News,https://channel45news.com/2017/05/gm-just-announced-that-they-will-be-bringing-the-square-body-back-in-2018/,,,,,,,,
Beyoncé welcomes 2 baby boys with husband Jay-Z. - Channel 28 News,https://channel28news.com/2017/05/beyonce-welcomes-2-baby-boys-with-husband-jay-z/,,,,,,,,
Hospital employee arrested for impregnating 26 women in coma,http://worldnewsdailyreport.com/hospital-employee-arrested-for-impregnating-26-women-in-coma/,,,,,,,,
JUST IN: Sharia Law Finally Banned In All 50 States. Do You Support This?,http://www.redcountry.us/just-in-sharia-law-finally-banned-in-all-50-states-do-you-support-this/,,,,,,,http://abcnews.go.com/Politics/us-house-vote-block-sharia-law/story?id=46578307,2200.0
Kapernick signs 2 year 5.7 million dollar deal with the Jaguars - Channel 24 News,https://channel24news.com/2017/08/kapernick-signs-2-year-5-7-million-dollar-deal-with-the-jaguars/,,,,,,,,
"Racist Boy Dies for 5 Minutes, Comes Back & Says Jesus is a N***",http://www.celebtricity.com/christian-racist-teen-dies-for-5-minutes-comes-back-says-jesus-is-a-nger/2/,,,,,,,,
Man accused of ejaculating in his boss’ coffee everyday for 4 years,http://worldnewsdailyreport.com/man-accused-of-ejaculating-in-his-boss-coffee-everyday-for-4-years/,,,https://www.snopes.com/man-ejaculating-boss-coffee/,183.0,,,,
Tainted buffet at Jacksonville strip club blamed after severe diarrhea incident on stage,http://www.borderherald.com/tainted-buffet-jacksonville-strip-club-blamed-severe-diarrhea-incident-stage/,,,https://www.snopes.com/tainted-buffet-cause-severe-diarrhea-strip-club/,367.0,,,,
L'Islande vous paye 4500 euros/mois pour vous marier avec une islandaise,http://www.actualite.co/122819/l-islande-vous-paye-4500-euros-mois-pour-vous-marier-avec-une-islandaise.html,,,,,,,,
BREAKING: Charles Manson Dies in California Hospital,http://empirenews.net/breaking-charles-manson-dies-in-california-hospital/,,,,,,,,
"Plane accidentally empties toilet tank over cruise ship, 23 injured",http://worldnewsdailyreport.com/plane-accidentally-empties-toilet-tank-over-cruise-ship-23-injured/,,,https://www.snopes.com/plane-toilet-cruise-ship/,1100.0,,,,
